Date,Open,High,Low,Close,Volume,growth,sma_5,sma_14,volatility,rsi,atr_rel,cmf,day,month,day_of_week
2000-01-03,36.186,36.572,34.529,35.917,80303436,-0.7434,-0.3894,1.1907,0.014731327769301777,47.03670136542164,0.029667727995890535,0.25807184598810706,3,1,0
2000-01-04,35.011,36.109,34.606,34.722,83144524,-0.8255,-0.3338,0.9415,0.016842618550971945,46.87062711236671,0.03158862891285312,0.23703397078769814,4,1,1
2000-01-05,34.26,35.878,33.72,35.069,96255222,2.3614,-0.0219,0.3946,0.01464754103911027,53.7037773671511,0.03343747805440115,0.29628403150539157,5,1,2
2000-01-06,34.587,35.107,33.412,33.893,80688401,-2.0065,-0.3703,-0.0348,0.016507287483244124,45.13550072960885,0.03569857647084169,0.3037687419837002,6,1,3
2000-01-07,33.489,34.606,33.084,34.375,93023632,2.6456,0.2863,0.2421,0.017721722948369288,53.622547133933075,0.03584647081608538,0.32052618397802907,7,1,4
2000-01-10,34.972,35.05,34.337,34.606,66292591,-1.0466,0.2257,0.2917,0.016942179824730216,47.360678758216515,0.0345354885732824,0.2848499985061436,10,1,0
2000-01-11,34.375,35.223,33.508,33.71,71360735,-1.9345,0.0039,-0.065,0.017958553421384298,45.970411149937036,0.03655497844719908,0.21981005950715984,11,1,1
2000-01-12,33.45,33.566,32.198,32.622,103767186,-2.4753,-0.9635,-0.3205,0.019179194987773075,45.10198390043763,0.038386645745018814,0.1873870750516217,12,1,2
2000-01-13,32.178,33.489,31.292,33.248,126642528,3.3253,0.1029,-0.0982,0.021305695255528515,54.93553153528224,0.0396935563200838,0.11917694301360816,13,1,3
2000-01-14,33.046,35.127,32.602,34.606,111974534,4.7207,0.5179,0.2012,0.026309793552405304,56.93400569876035,0.04062364843192324,0.0978242668755929,14,1,4
2000-01-18,34.601,35.917,34.582,35.704,117671776,3.1878,1.3648,0.5078,0.028581337916510484,54.095900876077586,0.03923267042759668,0.15575947082211153,18,1,1
2000-01-19,34.067,34.375,32.679,33.007,145477635,-3.1115,1.1294,0.2283,0.036701571276423275,44.31884170553336,0.04595328792660833,0.09468875691298088,19,1,2
2000-01-20,33.007,33.816,32.641,32.66,86285021,-1.0513,1.4142,0.172,0.036340936501728836,47.651205053338686,0.045694038731773905,-0.0017924014716831757,20,1,3
2000-01-21,32.988,33.065,31.832,32.024,95175761,-2.9223,0.1647,0.0088,0.035424402325766914,45.01631145098114,0.04602301614132383,-0.06771604437750554,21,1,4
2000-01-24,31.995,32.583,31.08,31.215,95462817,-2.4379,-1.267,-0.1122,0.03518386142277768,45.851132902370715,0.04728251961242719,-0.10232663734217504,24,1,0
2000-01-25,31.138,32.024,30.695,31.697,91536745,1.7952,-1.5456,0.075,0.03573047403610284,52.6210621046046,0.046232428589737855,-0.09887749941767339,25,1,1
2000-01-26,31.581,31.909,30.56,30.637,74282249,-2.9891,-1.5211,-0.3072,0.03623393481896057,45.67112295744109,0.04756056112617323,-0.12322718369269423,26,1,2
2000-01-27,30.791,31.196,29.982,30.464,96731747,-1.062,-1.5232,-0.2397,0.035303539345138274,48.61505524518426,0.04726062576411831,-0.13483312152948995,27,1,3
2000-01-28,30.252,30.907,29.982,30.309,88774814,0.1884,-0.9011,-0.4152,0.03414618509476293,50.4897127355396,0.046289221359556806,-0.13217048929664582,28,1,4
2000-01-31,30.097,30.271,29.25,30.175,109674765,0.2592,-0.3617,-0.322,0.029608513584481255,50.59960962352458,0.04568053055374245,-0.07614319628326198,31,1,0
2000-02-01,30.367,31.832,30.117,31.735,103818384,4.5049,0.1803,0.138,0.03323935847492033,56.793203756380414,0.04419259970507849,-0.042576702409352234,1,2,1
2000-02-02,31.581,32.044,30.984,31.071,77750037,-1.6149,0.4551,0.1995,0.024141097608465976,47.54085564200364,0.04434975648245413,-0.0399411811683146,2,2,2
2000-02-03,31.466,32.121,30.868,31.928,76018567,1.4683,0.9612,0.0668,0.026220672790055043,51.801166375681724,0.042879708557786986,-0.025453777717792742,3,2,3
2000-02-04,32.178,33.296,32.101,32.834,85252235,2.0387,1.3312,-0.1248,0.027024510932663753,52.5686133842711,0.04169420059526557,0.0028945951802522908,4,2,4
2000-02-07,32.93,32.949,32.14,32.853,60779399,-0.2338,1.2326,-0.3692,0.025208871784141693,49.20699962837646,0.04045257004249306,-0.006835470455412234,7,2,0
2000-02-08,32.814,33.913,32.814,33.874,83928155,3.2303,0.9777,0.0838,0.026334526280283925,54.032510396413656,0.038748318741888665,0.042767516414978626,8,2,1
2000-02-09,33.739,33.739,32.024,32.063,80608642,-4.9675,0.3072,-0.1959,0.030437297870894303,43.50022719596112,0.04213420706959864,0.03084690609935889,9,2,2
2000-02-10,32.024,32.853,31.6,32.679,84332362,2.0453,0.4226,0.1589,0.030518273965263104,52.101590522648685,0.04112588262567712,0.08420002994596842,10,2,3
2000-02-11,32.333,32.333,30.56,30.81,179569148,-4.7104,-0.9272,-0.0034,0.036954080284498717,44.99518171681939,0.045417502059207436,-0.03519922718081623,11,2,4
2000-02-14,31.205,31.369,30.56,30.733,121236398,-1.5126,-1.183,-0.2397,0.036923899445549385,48.570980531444185,0.04415930781657305,-0.10418557144141928,14,2,0
2000-02-15,30.753,30.83,29.712,30.367,108380269,-1.2552,-2.0801,-0.1158,0.03285068771436289,48.85917259699825,0.04412902185325143,-0.13630664879846993,15,2,1
2000-02-16,30.598,30.887,30.078,30.078,101554726,-1.6995,-1.4265,-0.1613,0.03239596675696836,48.35547269934624,0.04329186516492815,-0.14595013047735483,16,2,2
2000-02-17,30.367,30.733,29.943,30.714,123606495,1.1427,-1.607,-0.0932,0.03179492495701808,51.78011288889033,0.0412043957748426,-0.039370162313938736,17,2,3
2000-02-18,30.83,30.849,29.25,29.298,108908260,-4.9692,-1.6588,-0.4666,0.03230927201023094,44.886970831347924,0.044008790345929756,-0.057961630124087046,18,2,4
2000-02-22,29.327,29.943,28.614,28.941,100903741,-1.3162,-1.6195,-0.8824,0.03203455489683698,49.236699828234,0.04464946915205727,-0.043975404585774494,22,2,1
2000-02-23,28.882,29.519,28.438,29.133,116057270,0.8691,-1.1946,-0.705,0.029206269918722022,51.69290647972182,0.04383738550658302,-0.050149815411680856,23,2,2
2000-02-24,29.057,29.558,28.363,29.23,104045792,0.5954,-0.7356,-0.7674,0.02600584722085104,51.35773325544561,0.04349124963472625,0.00662367939292884,24,2,3
2000-02-25,29.197,29.197,27.944,28.156,100447003,-3.5654,-1.6773,-1.1676,0.02530364551264186,46.42921434494192,0.045187627982616316,-0.01647636245073996,25,2,4
2000-02-28,27.824,28.402,27.169,28.248,115159079,1.5239,-0.3786,-1.0421,0.020467434632631315,52.44107006339088,0.04494107571514819,0.03878039496289745,28,2,0
2000-02-29,28.286,28.286,27.4,27.535,86080294,-2.655,-0.6464,-1.4625,0.02098652775955417,47.70683568288078,0.045109968062516756,-0.03453550504621291,29,2,1
2000-03-01,27.549,29.009,27.337,27.914,162855681,1.3249,-0.5552,-1.013,0.022373497579207622,52.13843017390436,0.04559754607984264,-0.10216077340045915,1,3,2
2000-03-02,28.306,29.404,28.094,28.787,164672381,1.6993,-0.3345,-1.0377,0.025558351615121933,52.54584580942283,0.04475365546091107,-0.06361844329257153,2,3,3
2000-03-03,29.211,30.483,28.941,29.635,152555862,1.4515,0.6689,-0.5976,0.026559489138056492,52.22895312079748,0.04445565146615298,-0.09171693976347531,3,3,4
2000-03-06,29.596,30.02,27.776,27.978,139933980,-5.467,-0.7293,-0.8801,0.028571209137991042,44.21200037461942,0.049454065964055355,-0.1479367275473534,6,3,0
2000-03-07,29.635,30.059,28.344,28.633,195856940,-3.3811,-0.8745,-1.0319,0.029689362434241424,46.86039412330839,0.050062455777924654,-0.21220635693540887,7,3,1
