Date,Open,High,Low,Close,Volume,growth,sma_5,sma_14,volatility,rsi,atr_rel,cmf,day,month,day_of_week
2000-01-03,23.536,23.536,22.253,23.181,18352299,-1.5083,-0.208,0.6003,0.029589152121851595,48.12622491249171,0.041700952861809595,0.15899467664380304,3,1,0
2000-01-04,22.322,22.963,22.001,22.041,28991595,-1.2588,-0.3068,0.8285,0.0327518805476006,48.37120927120591,0.04454914298600954,0.05617381096166152,4,1,1
2000-01-05,21.747,22.035,20.93,21.31,33945979,-2.0095,-0.9792,0.7914,0.027889023904813008,47.64215071615852,0.04651002073878887,0.03081510878680923,5,1,2
2000-01-06,20.947,21.794,20.58,21.244,28925593,1.4179,-0.3407,0.4938,0.027431410098741397,51.25452570012764,0.047403875532139095,-0.04235243161517779,6,1,3
2000-01-07,20.672,21.462,20.351,21.451,47592064,3.7684,0.0819,1.0235,0.027693739163235837,53.61794698229073,0.04729257748044353,0.05125729552431325,7,1,4
2000-01-10,21.84,23.318,21.726,23.181,39573063,6.1401,1.6116,1.2973,0.03420163105715015,55.93930622030658,0.0463900547675403,0.11966452918329899,10,1,0
2000-01-11,22.688,23.777,22.035,22.15,35462660,-2.3713,1.3891,0.6252,0.036905087603998805,46.87281311093709,0.05069907182961166,0.09409500446571888,11,1,1
2000-01-12,22.367,23.33,21.703,23.296,40167574,4.1534,2.6217,0.9803,0.04078731821642724,53.14249683872581,0.04975041004383547,0.24207298091460835,12,1,2
2000-01-13,22.935,23.376,22.193,23.097,53365093,0.7063,2.4794,1.0272,0.04054423965851672,49.798808556301275,0.05025331731689176,0.2998751976906621,13,1,3
2000-01-14,23.8,25.484,23.742,24.854,80101726,4.4286,2.6114,0.9954,0.04642810357756907,53.221533366856,0.050225060958532804,0.2587959255481125,14,1,4
2000-01-18,24.545,25.255,24.224,24.797,34524499,1.0267,1.5887,1.1233,0.04644531271323116,49.87470708460384,0.04971459003054478,0.29269017569029265,18,1,1
2000-01-19,24.842,26.263,24.613,26.103,38173454,5.0761,3.0782,1.3893,0.043587818336727396,53.613976443833224,0.04836894762188376,0.3299662976941212,19,1,2
2000-01-20,26.378,26.653,25.415,25.679,36437346,-2.6499,1.7176,1.3268,0.0416501606150501,46.488355447790234,0.04909923705602247,0.24852558142235512,20,1,3
2000-01-21,25.965,26.172,25.266,25.908,38063827,-0.2195,1.5324,1.1929,0.0411239550634493,48.793903134166506,0.047687010655012275,0.2731762128543761,21,1,4
2000-01-24,25.725,26.882,25.713,25.748,32127303,0.0894,0.6646,1.307,0.041860265515042086,49.094108667189325,0.047798930115656016,0.21006594364074802,24,1,0
2000-01-25,25.931,26.642,24.797,26.447,41740083,1.9899,0.8572,1.539,0.03661901027147031,50.997592048546075,0.04819463477908066,0.22506201629625044,25,1,1
2000-01-26,26.412,26.481,24.579,24.613,34185784,-6.8113,-1.5203,1.1961,0.04188531065199956,42.982143780377235,0.05360653074748681,0.16294574059084724,26,1,2
2000-01-27,25.152,25.725,24.453,24.842,35427751,-1.2325,-1.2368,1.0067,0.039481933184827255,48.506872991930145,0.052976031481082174,0.1324747239195975,27,1,3
2000-01-28,24.682,25.37,23.571,23.8,41113920,-3.5735,-1.9076,0.4823,0.04231483822930065,46.47200236736066,0.05674489034420637,0.08890048062497287,28,1,4
2000-01-31,23.593,25.221,23.513,25.163,38705266,6.6545,-0.5946,0.5191,0.03932144273163499,55.29580510477502,0.05468593079549182,0.13158238722573176,31,1,0
2000-02-01,24.522,25.92,24.43,25.736,29036314,4.9507,-0.0024,1.0421,0.039853073395932685,53.70754128893933,0.05378460132524337,0.14715100274998724,1,2,1
2000-02-02,25.679,26.974,25.599,26.355,36071365,2.6325,1.8863,0.9334,0.03704904284650741,51.538445447024486,0.05249642652840074,0.18380808757497785,2,2,2
2000-02-03,26.573,27.501,26.573,27.237,30621900,2.4988,2.6326,1.0615,0.0377585618505447,51.40948636743298,0.05017351180649227,0.21464975329751382,3,2,3
2000-02-04,27.432,27.661,26.561,26.653,24055389,-2.8397,2.7794,0.5423,0.03871394979187171,46.415408493395326,0.05055846630493107,0.18705769673188502,4,2,4
2000-02-07,26.676,28.269,26.401,28.154,27119650,5.5406,2.5566,0.8647,0.041812531866703743,53.973991112326594,0.04918345130235049,0.16220419915442152,7,2,0
2000-02-08,28.372,29.609,27.959,29.518,48251494,4.0392,2.3743,0.7907,0.04326480081028893,52.54396229692329,0.04755268345600962,0.17351027425012844,8,2,1
2000-02-09,29.185,30.904,29.174,30.022,49031485,2.8679,2.4214,1.1848,0.032021993090443526,51.39982456735254,0.04753081414892982,0.2083469537082429,9,2,2
2000-02-10,30.022,32.039,29.563,32.033,36225718,6.6984,3.2613,1.6789,0.03468863289076345,54.861413175002426,0.04688604905416562,0.20628499362738056,10,2,3
2000-02-11,31.695,31.958,29.976,30.245,43040929,-4.5749,2.9142,1.3458,0.038024527805975934,44.75761175939263,0.05096878001458833,0.13210193691668423,11,2,4
2000-02-14,30.732,31.099,29.288,29.541,38691631,-3.8754,1.031,0.9268,0.03892474428700182,45.42919448027096,0.05283494554792108,0.07126167820316465,14,2,0
2000-02-15,30.246,31.03,29.496,30.753,49627722,1.6763,0.5585,1.5331,0.03964716087681681,50.565814127111004,0.05069043820023315,0.10707263546923522,15,2,1
2000-02-16,32.084,32.589,31.443,31.786,62712664,-0.9288,-0.2009,1.5548,0.03990948404259164,48.2697945498111,0.04966579985265977,0.031232725083198562,16,2,2
2000-02-17,31.913,34.64,31.145,34.559,60954717,8.2913,0.1177,2.4022,0.04483202110553723,55.90175040982331,0.049641405140518215,0.12945077898136348,17,2,3
2000-02-18,34.616,34.789,32.537,32.686,43104381,-5.5755,-0.0824,1.5287,0.04969861516333991,45.12006477265582,0.05365828350116082,0.06218850005032961,18,2,4
2000-02-22,32.513,33.734,31.972,32.963,38367423,1.3841,0.9695,1.2739,0.04827665743301422,50.30092931081169,0.05322498062491332,0.10501308873354219,22,2,1
2000-02-23,32.726,33.78,32.566,33.139,29679931,1.262,0.8866,1.176,0.04703861646713095,50.21137081452463,0.051777395370166415,0.06316396169038321,23,2,2
2000-02-24,33.047,34.239,32.772,33.631,33845983,1.7672,1.4258,1.1238,0.047015963727843876,50.603258348050126,0.05049139265056322,0.1118967818018519,24,2,3
2000-02-25,33.677,33.987,31.351,31.597,33634353,-6.1763,-1.4677,0.8854,0.048134821512962105,44.65204071495216,0.05586196777497908,0.09502162648594738,25,2,4
2000-02-28,31.855,32.864,30.641,32.428,43695993,1.7988,0.0072,0.6182,0.044423220669453305,50.89591173340205,0.05543912171407906,0.1665333219168196,28,2,0
2000-02-29,33.001,33.826,32.932,33.54,34229967,1.6333,0.057,0.4463,0.043737518474008634,50.767918146785576,0.05274967609309573,0.13748988857862654,29,2,1
2000-03-01,33.643,34.009,33.265,33.849,25297902,0.6123,-0.0729,0.2852,0.042656109075294844,49.93363981891557,0.050104695581029195,0.1286934939505856,1,3,2
2000-03-02,33.597,34.262,33.047,33.093,22292002,-1.5001,-0.7264,-0.3004,0.042885229804784104,48.169908099957446,0.050211136428051986,0.09973894705421622,2,3,3
