Date,Open,High,Low,Close,Volume,growth,sma_5,sma_14,volatility,rsi,atr_rel,cmf,day,month,day_of_week
2020-01-02,13.6515,13.8051,13.6259,13.8051,9082555,1.1252,0.1098,0.0361,0.010321571078187293,53.11655590622845,0.019194243611758435,-0.2171617118175392,2,1,3
2020-01-03,13.5662,13.6174,13.4041,13.4467,8626853,-0.8809,-0.0727,-0.2653,0.013598225538870341,47.49711975867153,0.020428378509761414,-0.22667926186948242,3,1,4
2020-01-06,13.3188,13.4638,13.3017,13.4126,10107163,0.7043,0.218,-0.0667,0.013211189892368554,51.83347009330937,0.01988069642933678,-0.2353349874743169,6,1,0
2020-01-07,13.387,13.451,13.2846,13.3401,9486666,-0.3503,0.3364,-0.0784,0.012917128535710738,48.937642742567995,0.01945195193474451,-0.2226624245018506,7,1,1
2020-01-08,13.2846,13.4851,13.2164,13.4467,8283046,1.2202,0.3637,0.1198,0.012158337071170046,53.1365075263485,0.019346662814035662,-0.19496884890436889,8,1,2
2020-01-09,13.4809,13.4809,13.1822,13.37,11948178,-0.8226,-0.0259,0.0113,0.012055043097867778,47.64806761732752,0.019663607336250746,-0.1740687290532567,9,1,3
2020-01-10,13.37,13.4297,13.1908,13.1993,8420005,-1.2767,-0.105,-0.0192,0.012490681669294007,46.498317449896454,0.019788016848911592,-0.18931211406482482,10,1,4
2020-01-13,13.1993,13.3614,13.1823,13.2676,11350804,0.5175,-0.1424,0.1216,0.012757300886884312,51.480072463088135,0.019244214802116782,-0.23624980256147896,13,1,0
2020-01-14,13.2846,13.37,13.2249,13.259,8543413,-0.1927,-0.1109,0.0072,0.012586229231720527,49.514705612378535,0.018662897848422847,-0.22407070718209707,14,1,1
2020-01-15,13.2249,13.3529,13.1652,13.2164,7607499,-0.0643,-0.3678,-0.0426,0.01233583031347615,49.88720208740374,0.01840012470134022,-0.2045031309670077,15,1,2
2020-01-16,13.3102,13.4809,13.2377,13.4638,7613977,1.154,0.0276,0.0376,0.012053730760853459,53.400480872719726,0.0181751082019739,-0.12614934581499473,16,1,3
2020-01-17,13.4723,13.4723,12.7812,12.8836,20935804,-4.3697,-0.591,-0.221,0.016451040313769164,39.782410382657005,0.021468479770109575,-0.17561469451776385,17,1,4
2020-01-21,12.8068,12.8324,12.5765,12.713,15134859,-0.7324,-0.841,-0.206,0.016676683965157216,49.00461956029514,0.021927986973741098,-0.13303401107748497,21,1,1
2020-01-22,12.7642,12.858,12.713,12.8239,13743111,0.4677,-0.7089,-0.25,0.01725719331341898,51.63642047917107,0.020993259678987884,-0.008934726612692446,22,1,2
2020-01-23,12.8328,12.9502,12.6195,12.9266,6640843,0.7309,-0.5499,-0.2782,0.017258527955797905,52.21883482892903,0.02116621659637517,-0.011139620880403526,23,1,3
2020-01-24,12.9263,12.986,12.5381,12.5893,10376422,-2.6071,-1.3021,-0.4015,0.018680549928959553,44.84325905804543,0.022722208547344306,-0.05438998488850676,24,1,4
2020-01-27,12.3376,12.4826,12.201,12.3888,13066619,0.415,-0.3452,-0.4222,0.01883763116446178,51.51964893325724,0.02367943569333396,-0.031000320866040775,27,1,0
2020-01-28,12.4399,12.5765,12.3888,12.4741,7048742,0.2749,-0.1437,-0.3775,0.018960235545638728,51.21018260292302,0.022912487863014936,-0.004527655391812154,28,1,1
