hyperparams,start_date,train_val_ratio,metric,t_statistic,p_value,significant,cohens_d,mlp_mean,mlp_iqr,mlp_q1,mlp_q3,tft_mean,tft_iqr,tft_q1,tft_q3
3,4,95,total_return,-0.8496,4.0100e-01,False,-0.2687,-0.0338,0.0368,-0.0535,-0.0167,-0.0241,0.0482,-0.0451,0.003
1,1,85,sharpe_ratio,-9.2344,6.0368e-11,True,-2.9202,-1.8294,1.2582,-2.3662,-1.108,0.5138,0.9136,0.0367,0.9502
1,1,90,sharpe_ratio,-8.5427,3.2096e-10,True,-2.7014,-1.4376,1.3175,-2.1212,-0.8038,0.6062,0.6258,0.3231,0.9489
1,1,95,sharpe_ratio,-5.959,9.6728e-07,True,-1.8844,-1.4568,0.754,-1.8407,-1.0868,-0.0905,0.6427,-0.5533,0.0894
1,2,85,sharpe_ratio,-5.7548,1.8719e-06,True,-1.8198,-1.744,1.3149,-2.5121,-1.1972,-0.2672,0.7186,-0.7224,-0.0038
1,2,90,sharpe_ratio,-5.8911,1.1372e-06,True,-1.8629,-2.0395,1.1718,-2.6709,-1.499,-0.1262,0.9335,-0.8013,0.1321
1,2,95,sharpe_ratio,-5.6191,1.9176e-06,True,-1.7769,-1.9016,1.1741,-2.4951,-1.321,-0.4657,0.9776,-0.8967,0.0809
1,3,85,sharpe_ratio,-7.3316,1.7031e-08,True,-2.3184,-0.9202,1.0577,-1.5531,-0.4954,1.0368,0.6797,0.6774,1.3571
1,3,90,sharpe_ratio,-3.5667,1.1740e-03,False,-1.1279,-0.3886,1.5787,-1.1949,0.3838,0.5958,0.9076,0.1286,1.0363
1,3,95,sharpe_ratio,-6.0778,4.4568e-07,True,-1.922,-1.0978,0.8531,-1.6988,-0.8458,0.2059,0.575,-0.1827,0.3924
1,4,85,sharpe_ratio,-1.0562,2.9780e-01,False,-0.334,-0.9617,1.1294,-1.5998,-0.4704,-0.715,1.0308,-1.2654,-0.2346
